description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"ASUS Vivobook Go 14 (2023), AMD Ryzen 3 7320U, Thin & Light Laptop, 14-inch (35.56 cm) FHD, (8GB RAM /512GB SSD/Windows 11/Office 2021/Alexa Built-in/Grey Green/1.38 kg), E1404FA-NK323WS","31,000",https://amazon.in//ASUS-Vivobook-14-inch-Windows-E1404FA-NK323WS/dp/B0C7HDXQ1C/ref=sr_1_38?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-38,ASUS,G-Series,8GB RAM,14.0,512GB SSD,Silver,1.38 kg,Windows 11,OLED,Intel 12th Gen
"ASUS Marshmallow Kw100 Keyboard, Supports Up to 3 Devices, 1.6Mm Key Travel, Scissor Keys, Compact & Lightweight Keyboard, Bluetooth (Color - Green Tea Latte)","2,799",https://amazon.in//ASUS-Marshmallow-Keyboard-Lightweight-Bluetooth/dp/B0CFF1XMT4/ref=sr_1_169?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-169,ASUS,ROG Strix,8GB RAM,14.0,256GB SSD,Silver,2.4 Kg,Windows 10,IPS,11th Gen
"ASUS Vivobook 16, IntelCoreâ„¢ i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNjkyMDIzMjcxMjQ4MzM5OjE3MzUzNzE5NzM6c3BfbXRmOjMwMDIyOTk0MjUxMDIzMjo6MDo6&url=%2FASUS-Vivobook-Intel%25C2%25AECoreTM-FingerPrint-X1605ZAB-MB322WS%2Fdp%2FB0CFVYSZFG%2Fref%3Dsr_1_39_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735371973%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-39-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,ASUS,ROG Strix,16GB RAM,14.0,512GB SSD,Black,1.8 Kg,Windows 11,VA,12th Gen
"ASUS 240W Laptop Adapter/Charger Without Power Cord for Select Models of ASUS ROG Models (AD240-00E), Black","5,498",https://amazon.in//ASUS-Adapter-Charger-Without-AD240-00E/dp/B0B1JBQYV7/ref=sr_1_171?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.Hr5vi7yVlqofyn8o2ssX5PeTwmeBh0y-qX4X8y8lzmNnYta8xalwh-rGT_F4OTL57fBuZxMupWiEJM8BjlcWD7rxmuWVmxsqifROH7yeFnjdmIL-AZAytFDFjWO7msgzipRE4wAaDtGAuHU_70FoX8YpsnQviveZ7BM7R9NrDQLzTDZSQnz8jfxUyNaulPySd6Pdjs4M5H1t68AJe5tUA0lf1KyimwJPXE33QrY7zEuZwo5UhNEXxImin31H_YpnpNggbVf2-9H4PrQdJWbDEB9-PFKxPamQ_xyQqXhXPxg.UCQlDNKfjEXgr7XYwMCcnlDb2oXKro82vMQfir898Yg&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371999&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-171,ASUS,TUF Gaming,8GB RAM,16.0,256GB SSD,Black,1.2 Kg,Windows 11,TN,Intel 13th Gen
"ASUS Vivobook Go 15 (OLED) 2023, AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD OLED, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Backlit KB/Silver/1.63 kg), E1504FA-LK541WS","49,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTIxNDY2NzYzNjMyMjU4OjE3MzUzNzIwMDM6c3BfYXRmX25leHQ6MzAwMzcxOTkxMzM3NzMyOjowOjo&url=%2FASUS-Vivobook-Windows-Backlit-E1504FA-LK541WS%2Fdp%2FB0BTWG1BHC%2Fref%3Dsr_1_169_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.oIh-8MNUj4m4j4TWF27fiYvisK-M68IpyjhqA3BlRGLS8wOu3g3HOTcVs2AaHBI4NK7kNkIxlZPTJZiTxr_m391z6IWrE3T2S3T9GbYA7_lZNBsuSHX15aVN5JSJrfxgh3J-KGzFLMut0xM0FsriE_pTrRAxPisO4vtH7v9XGRCWkYxyf2BZVfAYl61fXpNjuEKeFsyM21IeZZokaWXh__4Xv9MWs4TsM6CCyflsIU-JUctalNMF3TPkOFJWupfmAQaxKQVox-a4zUnB4TVdnLgG5qfz_mRUBZ5HiPsBTcI.s3mpml3hf2oUiJseIPfw--ltoCFQMsmeOU2hnAIyHOU%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735372003%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-169-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ASUS,ROG Strix,16GB RAM,15.6,512GB SSD,Silver,1.63 kg,Windows 11,OLED,Intel 13th Gen
"ASUS ROG AC100-00 100W USB Type-C Adapter/Charger Connector with Power Cord, USB PD 3.0 Technology with 5V/3A, 9V/3A, 15V/3A and 20V/3.25A Output for Laptops, Black","5,498",https://amazon.in//ASUS-AC100-00-Adapter-Connector-Technology/dp/B09Q8S3RY1/ref=sr_1_171?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.oIh-8MNUj4m4j4TWF27fiYvisK-M68IpyjhqA3BlRGLS8wOu3g3HOTcVs2AaHBI4NK7kNkIxlZPTJZiTxr_m391z6IWrE3T2S3T9GbYA7_lZNBsuSHX15aVN5JSJrfxgh3J-KGzFLMut0xM0FsriE_pTrRAxPisO4vtH7v9XGRCWkYxyf2BZVfAYl61fXpNjuEKeFsyM21IeZZokaWXh__4Xv9MWs4TsM6CCyflsIU-JUctalNMF3TPkOFJWupfmAQaxKQVox-a4zUnB4TVdnLgG5qfz_mRUBZ5HiPsBTcI.s3mpml3hf2oUiJseIPfw--ltoCFQMsmeOU2hnAIyHOU&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735372003&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-171,ASUS,G-Series,4GB RAM,14.0,512GB SSD,Black,2.0 Kg,Windows 11,OLED,9th Gen
"ASUS Vivobook 15 (2023), Intel Core i5-1335U 13th Gen, Thin and Light Laptop, 15.6"" (39.62 Cms) FHD, (8GB RAM /512GB SSD/Intel Iris X?/Windows 11/Office 2021/Fingerprint/Blue/1.7 Kg), X1504VA-NJ523WS","45,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNjkyMDIzMjcxMjQ4MzM5OjE3MzUzNzE5NzM6c3BfbXRmOjMwMDIyOTk0MjUxMzIzMjo6MDo6&url=%2FASUS-Vivobook-i5-1335U-Fingerprint-X1504VA-NJ523WS%2Fdp%2FB0BSDYWDNG%2Fref%3Dsr_1_40_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735371973%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-40-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,ASUS,Vivobook ,8GB RAM,15.6,512GB SSD,Arctic Grey,1.7 Kg,Windows 11,VA,13th Gen
"ASUS Vivobook 16X, 16"" (1920 x 1200), Core i7-12700H Processor 2.3 GHz, (16GB RAM/512GB SSD/RTX 3050/Windows 11/Office Home//Backlit Keyboard/50Whr Battery/Cool Silver/1.8 Kg), K3605ZC-RP628WS","83,990",https://amazon.in//ASUS-Vivobook-i7-12700H-Processor-K3605ZC-RP628WS/dp/B09LC8CWLL/ref=sr_1_27?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-27,ASUS,ROG Strix,16GB RAM,16.0,512GB SSD,Silver,1.8 Kg,Windows 11,OLED,11th Gen
"ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin and Light Laptop (15.6 Inch, Icelight Silver, 1.70 kg, with MS Office)","33,250",https://amazon.in//ASUS-Vivobook-Intel-Core-1215U/dp/B0D7HXZDP4/ref=sr_1_41?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-41,ASUS,TUF Gaming,4GB RAM,14.0,512GB SSD,Silver,1.70 kg,Windows 11,OLED,12th Gen
"ASUS TUF Gaming F15 - Intel Core i5-11260H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, (8GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/MS Office/Backlit/Black/2.30 kg),FX506HF-HN077WS","49,485",https://amazon.in//ASUS-TUF-Gaming-F15-FX506HF-HN077WS/dp/B0D2HZ1XQW/ref=sr_1_42?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-42,ASUS,G-Series,4GB RAM,15.6,512GB SSD,Black,2.30 kg,Windows 11,IPS,11th Gen
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS","38,950",https://amazon.in//ASUS-Vivobook-i3-1315U-Integrated-X1504VA-NJ320WS/dp/B0CYTD8DVF/ref=sr_1_43?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-43,ASUS,Vivobook ,8GB RAM,15.6,512GB SSD,Silver,1.7 kg,Windows 10,VA,13th Gen
"ASUS Vivobook S 16 OLED (2024), Intel Core Ultra 7 155H, Built-in AI, 16"" 3.2K (40.64cm), 3200 x 2000 120Hz, (16GB/1TB SSD/Win 11/Intel Arc Graphics/MS Office 2021/Mist Blue/1.50Kg), S5606MA-MX751WS","1,09,990",https://amazon.in//ASUS-Vivobook-40-64cm-Graphics-S5606MA-MX751WS/dp/B09T9PP3TN/ref=sr_1_44?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-44,ASUS,TUF Gaming,16GB RAM,16.0,1TB SSD,Silver,2.5 Kg,Windows 10,OLED,9th Gen
"ASUS ZenDrive V1M External DVD Drive and Writer with Built-in Cable-Storage Design, USB-C Interface, Compatible with Win 11 and macOS, M-DISC Support (SDRW-08V1M-U)","6,739",https://amazon.in//ASUS-Cable-Storage-Interface-Compatible-SDRW-08V1M-U/dp/B0B6D8XB74/ref=sr_1_217?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.QcL_xnqeBGnqrUtZEPrc3wnFfFyg5w6BBO-LXmoDHSuv8lgNnueNelceyzar40yD3h3HZ5ETMJFJ5HYLBWzNIOCqaJdXP_0HhZc_Jc0rDiWPKnpgu70WEhAL05rrygLG4XbowjlNOVY9pAv1rg74bNgInK6ooPGj4ZGbChv6c0m4B6LFC_aqT7OH6KgXeiyswXNcGj-iU-g1D-xWzfRgzBfbZWtIUcZ4bMrbmFgOfoH4_SwTKqBZorRfBvWrXC52akbMZ6-bdzNcZmbygyja-kHz7-j1T7YWoZ0bze98rlY.HQszF4XI2FovmRWLjpEJUQk7A3VADQYqBq_UBhdK0X8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735372008&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-217,ASUS,G-Series,8GB RAM,16.0,512GB SSD,Black,2.1 Kg,Windows 11,OLED,9th Gen
"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thin and Light Laptop (15.6 Inch, Quiet Blue, 1.70 kg, with MS Office)","46,990",https://amazon.in//ASUS-Vivobook-Intel-Core-1235U/dp/B0DGQT3843/ref=sr_1_45?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-45,ASUS,ROG Strix,4GB RAM,15.6,256GB SSD,Black,1.70 kg,Windows 11,IPS,12th Gen
"ASUS Wireless Mouse MD102 2.4GHz Mode, Ergonomic Design, Silent, Reliable, Dual Mode Connectivity, Adjustable DPI, 10 Million Click Life, Dark Grey","1,699",https://amazon.in//ASUS-MD102-Ergonomic-Connectivity-Adjustable/dp/B0DFGBGRB3/ref=sr_1_221?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.8TTDe7cM-vv938uY-iCIP1k0tXP8XRF9mK3ZwNVrws4N90ggTMZmYPWOY6ambFoyIu5807ihb3VUNj5X7YTXp17p6S75ZE--OmHmeoAaWjk70-uRWFJ9w9A3Jxh5fwxtsyhKxwT4plK7NqaY2-ekDR9Suqy6t1_qDAee5bm6Yk3VPHx4vKx_UMs4wPI3maY559xFUIx8FZARWzzDjJK1opodRVm_ToB8SrsUsEt5zVCx_Ri3oPZ3YrDmNcnzaYKQqGqEfX8MS8Kd1yhb-fAJdNmfhu3P4GQF5P5BDHzpOpI.EqhFYhg-lRRqb0Ym_X4W0__648gHmu2EiCtHflqVfRo&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735372012&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-221,ASUS,G-Series,16GB RAM,15.6,256GB SSD,Arctic Grey,1.3 Kg,Windows 10,TN,Intel 12th Gen
"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Iris Xe/Win 11/Office 2021/75WHr/Blue/1.7 kg) S5504VA-MA541WS","75,990",https://amazon.in//ASUS-Vivobook-i5-13500H-Laptop-S5504VA-MA541WS/dp/B0BSDZY5FV/ref=sr_1_46?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-46,ASUS,TUF Gaming,16GB RAM,15.6,512GB SSD,Arctic Grey,1.7 kg,Windows 11,OLED,13th Gen
"ASUS MW203 Multi-Device Wireless Silent Mouse, 2.4GHz with USB Nano Receiver, 2400 DPI Optical Tracking, 6 Buttons, Compatible with PC/Laptop - Blue (MW203 (Blue))","1,599",https://amazon.in//ASUS-MW203-Multi-Device-Wireless-Compatible/dp/B08CH6B2SV/ref=sr_1_224?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.8TTDe7cM-vv938uY-iCIP1k0tXP8XRF9mK3ZwNVrws4N90ggTMZmYPWOY6ambFoyIu5807ihb3VUNj5X7YTXp17p6S75ZE--OmHmeoAaWjk70-uRWFJ9w9A3Jxh5fwxtsyhKxwT4plK7NqaY2-ekDR9Suqy6t1_qDAee5bm6Yk3VPHx4vKx_UMs4wPI3maY559xFUIx8FZARWzzDjJK1opodRVm_ToB8SrsUsEt5zVCx_Ri3oPZ3YrDmNcnzaYKQqGqEfX8MS8Kd1yhb-fAJdNmfhu3P4GQF5P5BDHzpOpI.EqhFYhg-lRRqb0Ym_X4W0__648gHmu2EiCtHflqVfRo&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735372012&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-224,ASUS,Vivobook ,8GB RAM,16.0,512GB SSD,Black,2.0 Kg,Windows 11,OLED,11th Gen
"ASUS WT200 /Ambidextrous Design,Runs on 1 AA Battery- Upto 15 Months Life, 1200 DPI Wireless Optical Mouse (2.4GHz Wireless, Blue)",700,https://amazon.in//ASUS-WT200-Wireless-Mouse-Blue/dp/B0895XWJWK/ref=sr_1_229?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.8TTDe7cM-vv938uY-iCIP1k0tXP8XRF9mK3ZwNVrws4N90ggTMZmYPWOY6ambFoyIu5807ihb3VUNj5X7YTXp17p6S75ZE--OmHmeoAaWjk70-uRWFJ9w9A3Jxh5fwxtsyhKxwT4plK7NqaY2-ekDR9Suqy6t1_qDAee5bm6Yk3VPHx4vKx_UMs4wPI3maY559xFUIx8FZARWzzDjJK1opodRVm_ToB8SrsUsEt5zVCx_Ri3oPZ3YrDmNcnzaYKQqGqEfX8MS8Kd1yhb-fAJdNmfhu3P4GQF5P5BDHzpOpI.EqhFYhg-lRRqb0Ym_X4W0__648gHmu2EiCtHflqVfRo&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735372012&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-229,ASUS,Vivobook ,4GB RAM,16.0,256GB SSD,Black,1.9 Kg,Windows 11,OLED,Intel 12th Gen
"ASUS Vivobook 15, Intel Core i5-1335U 13th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (16GB RAM /512GB/Windows11/Office 2021/Fingerprint/Quiet Blue/1.7 kg),X1504VA-NJ543WS(X1504VA)","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMzk1NDQ1NTIwNjYzNzc2OjE3MzUzNzIwMTI6c3BfbXRmOjMwMDIyOTk0MjUxMjkzMjo6MDo6&url=%2FASUS-Vivobook-i5-1335U-Fingerprint-X1504VA-NJ543WS%2Fdp%2FB0C5N5J44V%2Fref%3Dsr_1_231_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.8TTDe7cM-vv938uY-iCIP1k0tXP8XRF9mK3ZwNVrws4N90ggTMZmYPWOY6ambFoyIu5807ihb3VUNj5X7YTXp17p6S75ZE--OmHmeoAaWjk70-uRWFJ9w9A3Jxh5fwxtsyhKxwT4plK7NqaY2-ekDR9Suqy6t1_qDAee5bm6Yk3VPHx4vKx_UMs4wPI3maY559xFUIx8FZARWzzDjJK1opodRVm_ToB8SrsUsEt5zVCx_Ri3oPZ3YrDmNcnzaYKQqGqEfX8MS8Kd1yhb-fAJdNmfhu3P4GQF5P5BDHzpOpI.EqhFYhg-lRRqb0Ym_X4W0__648gHmu2EiCtHflqVfRo%26dib_tag%3Dse%26keywords%3Dlaptop%2BASUS%26nsdOptOutParam%3Dtrue%26qid%3D1735372012%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-231-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,ASUS,Vivobook ,16GB RAM,15.6,512GB SSD,Arctic Grey,1.7 kg,Windows 11,VA,13th Gen
